,,baseline,add_unlab,anchor,teacher
0.0,gchurns_val,153.0,127.0,143.0,
0.0,bchurns_val,276.0,185.0,254.0,
0.0,accuracies_val,91.69999694824219,92.4124984741211,91.61250305175781,92.5
0.3,gchurns_val,153.0,118.0,165.0,
0.3,bchurns_val,276.0,171.0,241.0,
0.3,accuracies_val,91.69999694824219,92.2750015258789,92.1624984741211,92.5
0.5,gchurns_val,153.0,116.0,139.0,
0.5,bchurns_val,276.0,160.0,186.0,
0.5,accuracies_val,91.69999694824219,92.42500305175781,92.4375,92.5
0.7,gchurns_val,153.0,119.0,131.0,
0.7,bchurns_val,276.0,175.0,183.0,
0.7,accuracies_val,91.69999694824219,92.2874984741211,92.2874984741211,92.5
0.9,gchurns_val,153.0,110.0,130.0,
0.9,bchurns_val,276.0,185.0,202.0,
0.9,accuracies_val,91.69999694824219,92.01249694824219,92.07499694824219,92.5
